family,seed,regime,method,n,accuracy,nonabstain_accuracy,balanced_accuracy,unsafe_false_positive_rate,avoidable_false_negative_rate,abstention_rate,precision,recall,f1,mean_test_cost,mean_tests_used,mean_total_cost,stale_unsafe_rate,dominated_rate
A_main,28001,degraded_worn,risk_aware_eatl,2000,0.9685,0.9685,0.9614018578106975,0.0225,0.009,0.0,0.884318766066838,0.9502762430939227,0.9161118508655126,0.07077499999999982,0.701,0.18867500000000084,0.0,0.5425
A_main,28001,degraded_worn,cached_eatl,2000,0.9615,0.9615,0.9646601096877341,0.033,0.0055,0.0,0.841726618705036,0.9696132596685083,0.9011553273427471,0.10199999999999987,1.0,0.2703000000000023,0.0,0.8345
A_main,28001,degraded_worn,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28001,degraded_worn,random_test_control,2000,0.519,0.519,0.5212831980787782,0.395,0.086,0.0,0.19387755102040816,0.5248618784530387,0.28315946348733234,0.06630000000000039,1.0,2.092900000000018,0.0,0.512
A_main,28001,task_demand_shift,text_prior,2000,0.9245,0.9245,0.9255178783480671,0.0545,0.021,0.0,0.8323076923076923,0.9279588336192109,0.8775344687753447,0.0,0.0,0.2851000000000002,0.0,0.0
A_main,28001,task_demand_shift,calibrated_text_prior,2000,0.9245,0.9245,0.9255178783480671,0.0545,0.021,0.0,0.8323076923076923,0.9279588336192109,0.8775344687753447,0.0,0.0,0.2851000000000002,0.0,0.0
A_main,28001,task_demand_shift,passive_vision_proxy,2000,0.813,0.813,0.86803105151729,0.187,0.0,0.0,0.6091954022988506,1.0,0.7571428571428571,0.0,0.0,0.935,0.0,0.0
A_main,28001,task_demand_shift,uncertainty_vision_proxy,2000,0.813,0.8832156436719174,0.9145468998410176,0.1075,0.0,0.0795,0.7305764411027569,1.0,0.8443157132512672,0.0,0.0,0.5494249999999995,0.0,0.0
A_main,28001,task_demand_shift,conservative_prior,2000,0.816,0.9543859649122807,0.929230093676815,0.018,0.021,0.145,0.9,0.8852459016393442,0.8925619834710743,0.0,0.0,0.12435000000000049,0.0,0.0
A_main,28001,task_demand_shift,eager_eatl,2000,0.9685,0.9685,0.9671696660618246,0.021,0.0105,0.0,0.9304635761589404,0.9639794168096055,0.9469250210614997,0.10577250000000009,1.0,0.2170725000000012,0.0,0.894
A_main,28001,task_demand_shift,risk_aware_eatl,2000,0.9885,0.9885,0.9863317399235696,0.006,0.0055,0.0,0.9794520547945206,0.9811320754716981,0.9802913453299058,0.05637249999999989,0.5545,0.08967250000000014,0.0,0.4705
A_main,28001,task_demand_shift,cached_eatl,2000,0.972,0.972,0.9716587722473131,0.0195,0.0085,0.0,0.9355371900826446,0.9708404802744426,0.9528619528619529,0.10548425000000007,0.9975,0.208084250000001,0.0,0.901
A_main,28001,task_demand_shift,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28001,task_demand_shift,random_test_control,2000,0.4845,0.4845,0.4751800908110412,0.356,0.1595,0.0,0.27049180327868855,0.4528301886792453,0.33867864015394483,0.0687521250000004,1.0,1.9444521250000157,0.0,0.486
A_main,28001,embodiment_shift,text_prior,2000,0.96,0.96,0.9698168669304406,0.038,0.002,0.0,0.8830769230769231,0.9930795847750865,0.9348534201954397,0.0,0.0,0.1912,0.0,0.0
A_main,28001,embodiment_shift,calibrated_text_prior,2000,0.96,0.96,0.9698168669304406,0.038,0.002,0.0,0.8830769230769231,0.9930795847750865,0.9348534201954397,0.0,0.0,0.1912,0.0,0.0
A_main,28001,embodiment_shift,passive_vision_proxy,2000,0.7975,0.7975,0.8575949367088608,0.2025,0.0,0.0,0.5879959308240081,1.0,0.740550928891736,0.0,0.0,1.0125,0.0,0.0
A_main,28001,embodiment_shift,uncertainty_vision_proxy,2000,0.7975,0.8821902654867256,0.9134146341463414,0.1065,0.0,0.096,0.7307206068268015,1.0,0.8444119795471147,0.0,0.0,0.5468999999999989,0.0,0.0
A_main,28001,embodiment_shift,conservative_prior,2000,0.835,0.9766081871345029,0.9808778369983411,0.018,0.002,0.145,0.9,0.9878048780487805,0.9418604651162791,0.0,0.0,0.11295000000000052,0.0,0.0
A_main,28001,embodiment_shift,eager_eatl,2000,0.9535,0.9535,0.9549771509497321,0.0345,0.012,0.0,0.8892455858747994,0.9584775086505191,0.922564529558701,0.10199999999999987,1.0,0.28170000000000334,0.0,0.9165
A_main,28001,embodiment_shift,risk_aware_eatl,2000,0.97,0.97,0.9670939609400473,0.0185,0.0115,0.0,0.9375,0.9602076124567474,0.9487179487179487,0.05541499999999973,0.559,0.15481500000000026,0.0,0.494
A_main,28001,embodiment_shift,cached_eatl,2000,0.9505,0.9505,0.9487599706052687,0.0335,0.016,0.0,0.8907014681892332,0.9446366782006921,0.9168765743073048,0.10199999999999987,1.0,0.2791000000000037,0.0,0.9185
A_main,28001,embodiment_shift,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28001,embodiment_shift,random_test_control,2000,0.4875,0.4875,0.4917229984572633,0.3685,0.144,0.0,0.28237585199610515,0.5017301038062284,0.3613707165109034,0.06630000000000039,1.0,1.9952000000000145,0.0,0.4945
A_main,28002,typical,text_prior,2000,0.9945,0.9945,0.994722389084356,0.004,0.0015,0.0,0.9876923076923076,0.9953488372093023,0.9915057915057915,0.0,0.0,0.0209,0.0,0.0
A_main,28002,typical,calibrated_text_prior,2000,0.9945,0.9945,0.994722389084356,0.004,0.0015,0.0,0.9876923076923076,0.9953488372093023,0.9915057915057915,0.0,0.0,0.0209,0.0,0.0
A_main,28002,typical,passive_vision_proxy,2000,0.823,0.823,0.8693726937269373,0.177,0.0,0.0,0.6456456456456456,1.0,0.7846715328467153,0.0,0.0,0.885,0.0,0.0
