family,seed,method,n,accuracy,nonabstain_accuracy,balanced_accuracy,unsafe_false_positive_rate,avoidable_false_negative_rate,abstention_rate,precision,recall,f1,mean_test_cost,mean_tests_used,mean_total_cost,stale_unsafe_rate,dominated_rate
D_cache_validity,28303,ttl_cache,8000,0.944875,0.944875,0.9404913263202443,0.052125,0.003,0.0,0.4556135770234987,0.935656836461126,0.6128182616330113,0.01801418749999991,0.175,0.28043918749999597,0.047125,0.0
D_cache_validity,28303,demand_compatible_cache,8000,0.947625,0.947625,0.924084606999755,0.047625,0.00475,0.0,0.46787709497206703,0.8981233243967829,0.6152433425160697,0.029543750000000046,0.28175,0.27051874999999126,0.040875,0.0
D_cache_validity,28304,no_cache,8000,0.974875,0.974875,0.9776604592664719,0.024125,0.001,0.0,0.6788685524126455,0.9807692307692307,0.8023598820058997,0.10312731250000873,1.0,0.22435231249997528,0.0,0.0
D_cache_validity,28304,strict_cache,8000,0.97325,0.97325,0.9563554852320675,0.0235,0.00325,0.0,0.6747404844290658,0.9375,0.7847082494969819,0.05518225000000071,0.528875,0.1746322499999971,0.01025,0.0
D_cache_validity,28304,label_only_cache,8000,0.70625,0.70625,0.7962207887049659,0.288375,0.005375,0.0,0.13917910447761195,0.8966346153846154,0.24095607235142122,0.0025694999999999997,0.025,1.4476695000000037,0.28775,0.0
D_cache_validity,28304,ttl_cache,8000,0.95425,0.95425,0.9474703829925348,0.042625,0.003125,0.0,0.5341530054644809,0.9399038461538461,0.681184668989547,0.018026374999999914,0.175,0.23302637499999568,0.0395,0.0
D_cache_validity,28304,demand_compatible_cache,8000,0.9425,0.9425,0.9287771827328789,0.053,0.0045,0.0,0.472636815920398,0.9134615384615384,0.6229508196721312,0.02675125,0.255125,0.2944512499999941,0.047,0.0
D_cache_validity,28305,no_cache,8000,0.975625,0.975625,0.9730496321701958,0.023125,0.00125,0.0,0.6379647749510763,0.9702380952380952,0.7697756788665879,0.10306362500000885,1.0,0.2194386249999824,0.0,0.0
D_cache_validity,28305,strict_cache,8000,0.975125,0.975125,0.965674396063227,0.023,0.001875,0.0,0.6356435643564357,0.9553571428571429,0.7633769322235434,0.05549025000000078,0.533375,0.17161524999999764,0.010625,0.0
D_cache_validity,28305,label_only_cache,8000,0.7305,0.7305,0.7938910428472015,0.26375,0.00575,0.0,0.12083333333333333,0.8630952380952381,0.21198830409356725,0.0025849375,0.025,1.3247849375000018,0.263375,0.0
D_cache_validity,28305,ttl_cache,8000,0.94575,0.94575,0.9403829903568943,0.0515,0.00275,0.0,0.4325068870523416,0.9345238095238095,0.591337099811676,0.018029312499999905,0.175,0.27717931249999544,0.046375,0.0
D_cache_validity,28305,demand_compatible_cache,8000,0.933875,0.933875,0.9242251963415846,0.0625,0.003625,0.0,0.38042131350681535,0.9136904761904762,0.537182852143482,0.03096362500000006,0.295625,0.3456386249999943,0.0545,0.0
D_cache_validity,28306,no_cache,8000,0.9735,0.9735,0.9740001090464756,0.02525,0.00125,0.0,0.6547008547008547,0.9745547073791349,0.7832310838445807,0.10304175000000872,1.0,0.23004174999997515,0.0,0.0
D_cache_validity,28306,strict_cache,8000,0.974875,0.974875,0.9759296630162857,0.024,0.001125,0.0,0.6666666666666666,0.9770992366412213,0.7925696594427244,0.05594337500000078,0.539,0.17661837499999558,0.0115,0.0
D_cache_validity,28306,label_only_cache,8000,0.731875,0.731875,0.7998911876733329,0.262,0.006125,0.0,0.14098360655737704,0.8753180661577609,0.24285210024708787,0.002581812499999999,0.025,1.3162568125000014,0.261875,0.0
D_cache_validity,28306,ttl_cache,8000,0.943375,0.943375,0.9279960435530286,0.05225,0.004375,0.0,0.46134020618556704,0.910941475826972,0.6124893071000856,0.018031999999999923,0.175,0.2819069999999969,0.048,0.0
